"title","link","img"
"Canan Karatay'dan Oruç Tutanlara Özel 9 Tavsiyeİç Hastalıkları ve Kardiyoloji Uzmanı Prof. Dr. Canan Karatay Ramazan ayında oruç tutacak isimler için önemli tavsiyeler verdi. Sahurda ve iftarda..ampHaberler.com2 saat öncebookmark_bordersharemore_vert","https://news.google.com/articles/CBMiUGh0dHBzOi8vZm90b2dhbGVyaS5oYWJlcmxlci5jb20vY2FuYW4ta2FyYXRheS1kYW4tb3J1Yy10dXRhbmxhcmEtb3plbC05LXRhdnNpeWUv0gGTAWh0dHBzOi8vbS1oYWJlcmxlci1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9tLmhhYmVybGVyLmNvbS9hbXAvZm90b2dhbGVyaS9jYW5hbi1rYXJhdGF5LWRhbi1vcnVjLXR1dGFubGFyYS1vemVsLTktdGF2c2l5ZS8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MQ?hl=tr&gl=TR&ceid=TR%3Atr","https://lh4.googleusercontent.com/proxy/tZiQuNDBQsFqPNkY9RhFIr99IR6dNLH_MFG_kL0hJYmCXUsdP_45cvuCbhAhHbIZttk2arT8brwE0F6g605PkAWph04hcy0GzX8T9bBIWOK3TfSCtLInL9m1M7ZbewmuLErRiuz43qxvRDRyKcnoKkUlPHhYTVHLr2NIMRo2VCuwGuGLpAE=pf-w200-h200"
"Kızının midesi giderek büyüyordu! Doktor kontrol edince şok gerçek ortaya çıktıAmanda ve Justin, minik kızları Braylee'nin midesinin giderek büyümesi üzerine doktora gittiler.ampMynet Haber5 saat öncebookmark_bordersharemore_vert","https://news.google.com/articles/CBMif2h0dHA6Ly93d3cubXluZXQuY29tL2hhYmVyL2ZvdG8tYW5hbGl6L2tpemluaW4tbWlkZXNpLWdpZGVyZWstYnV5dXlvcmR1LWRva3Rvci1rb250cm9sLWVkaW5jZS1zb2stZ2VyY2VrLW9ydGF5YS1jaWt0aS00MTM1MzY4LTHSAa8BaHR0cHM6Ly9tLW15bmV0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL20ubXluZXQuY29tL2tpemluaW4tbWlkZXNpLWdpZGVyZWstYnV5dXlvcmR1LWRva3Rvci1rb250cm9sLWVkaW5jZS1zb2stZ2VyY2VrLW9ydGF5YS1jaWt0aS1mb3RvYW5hbGl6LTQxMzUzNjg_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MQ?hl=tr&gl=TR&ceid=TR%3Atr","https://lh5.googleusercontent.com/proxy/kDpGTASxRWAvODiv2tpkQUD9Uzd6GW-ceI92TxOD3pkK83xAALg2E5k5dERp4EVCnnqVKiHZY9Ss9WuqjJ07FC_ioort6uvtojIRMi5fqqiU-_FJ8qpk3EhM4QIV-VxEbwU0M6lZ-R4F_dHZqA9voWOFDLzUP7VJ-EHuGhW9VixXmk7LnIk=pf-w200-h200"
"Gıdalar hakkında yanlış bildiğimiz doğrular | NTVİnek sütü ve buğday gerçekten de sağlıksız mı? Beslenme uzmanı Martijn Katan'a göre bunlar yalan yanlış bilgiler. İşte besin maddeleri hakkında yanlış bilinen ...ampNTV5 saat öncebookmark_bordersharemore_vert","https://news.google.com/articles/CAIiEEny59lZ8F_xSgXgOJqlUMIqGQgEKhAIACoHCAow8r38CjCq--cCMKzHzgU?hl=tr&gl=TR&ceid=TR%3Atr","https://lh3.googleusercontent.com/T-syDjbi7q_6HQrOd78iGMHaOKh56ohhL_R5UvX8svPSMKyIsLFek5W2PPZkJ5rbbVNB9zLir8rVdRdh6Jc=pf-w200-h200"
"Ramazan'da ağız kokusunun tek çaresi...Araştırmalar, ağız kokusu olan insanların diş fırçalama süresini kısa tuttuklarını ortaya çıkardı. Ramazan'da ağız ve diş sağlığı, oruç nedeniyle çok daha fazla ...ampSabahbugünbookmark_bordersharemore_vert","https://news.google.com/articles/CAIiEPW547_c53iRruHGoB08cQcqGAgEKg8IACoHCAowmsbTATCL9TUw0uacAg?hl=tr&gl=TR&ceid=TR%3Atr","https://lh3.googleusercontent.com/mVO28Z8VQCVZ6g9mSzi3jVkvfjVPF9HMcaBoeBBAb7_55HcIfMr2DiivLWDwu12RIIBodXYN1fipo5AugeQ=pf-w200-h200"
"Kabus can almaya devam ediyor! 26 ölüDemokratik Kongo Cumhuriyeti'nde bir Ebola vakasının daha hayatını kaybetmesi sonucu ölü sayısı 26'ya yükseldi.ampHaber7bugünbookmark_bordersharemore_vert","https://news.google.com/articles/CAIiEBCFsr89JIYaWYRIWgxQQEUqGAgEKg8IACoHCAowoMueCTDTim4wlfKcAg?hl=tr&gl=TR&ceid=TR%3Atr","https://lh3.googleusercontent.com/Q0-3eARV_8OgNQ7EjNvdNB5dPZ7_PWvp8pjg0G487WbzqHatX1Zw5n7r_tBNaYGmdc_SadmiIAocpPi7PmZw=pf-w200-h200"
"Kanseri yendi, binlerce kişinin umudu oldu20 yaşında yumuşak doku kanseri teşhisi konuldu. 2.5 yıl tedavi oldu, sonrasında kendisini kanser hastalarına adadı. Şimdi 41 yaşında olan Salih Yüce, 20'den ...ampHaberturkdünbookmark_bordersharemore_vert","https://news.google.com/articles/CAIiEIMAoD-SnzG95BI50cZXV2kqGQgEKhAIACoHCAow0If9CjCr54kDMPyp0gU?hl=tr&gl=TR&ceid=TR%3Atr","https://lh3.googleusercontent.com/wgKGQ3AaJ9Kiiz5NEkv8ZjQoQmZhKOnEE9MtqqVkUzmWsaiytB3djtGww2sYiVlSrWbwADIWqq3Tv4aKwg=pf-w200-h200"
"Egeli bilim insanları, akciğer kanserini nefesten teşhis edecek!Son Dakika Ege Üniversitesi bilim insanları nefes yoluyla ölçüm yaparak akciğer kanserinin erken teşhisine olanak sağlayan yerli biyomedikal sistem geliştirdi.ampHabertürkbugünbookmark_bordersharemore_vert","https://news.google.com/articles/CBMiX2h0dHA6Ly93d3cuaGFiZXJ0dXJrLmNvbS9lZ2VsaS1iaWxpbS1pbnNhbmxhcmktYWtjaWdlci1rYW5zZXJpbmktbmVmZXN0ZW4tdGVzaGlzLWVkZWNlay0xOTc1NjYy0gGeAWh0dHBzOi8vbS1oYWJlcnR1cmstY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L20uaGFiZXJ0dXJrLmNvbS9lZ2VsaS1iaWxpbS1pbnNhbmxhcmktYWtjaWdlci1rYW5zZXJpbmktbmVmZXN0ZW4tdGVzaGlzLWVkZWNlay0xOTc1NjYyLWFtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0x?hl=tr&gl=TR&ceid=TR%3Atr","https://lh5.googleusercontent.com/proxy/wSxigrCiLac5BvfBHA9SyhKXRftAQ1LHe0zqcbKC4HJTQYZK0c4z6P1xd9Kr19I9x7UM7EagqmAwqxdcWwGkPwTwxrSxznHh4o3iYIEinXsW4q6Kxnfc=pf-w200-h200"
"Ramazan’da en sık yapılan 7 yanlış!Ramazan ayı, her yıl tüm dünyada büyük bir coşku ve heyecanla karşılanıyor. Ancak ülkemizde Ramazan denildiğinde akıllara ilk önce, bin bir çeşitten oluşan ...ampSabahbugünbookmark_bordersharemore_vert","https://news.google.com/articles/CAIiEPdyGSoLWA31BoTFJEP-OygqGAgEKg8IACoHCAowmsbTATCL9TUwxO2cAg?hl=tr&gl=TR&ceid=TR%3Atr","https://lh3.googleusercontent.com/Q137wXxE9Z7tLOJyS7OYGwruw_tTUDJfyVbow9gTIL7lvX-O4V5216cTvSWYhcFVvrvMIaIR2bOB_YFPVw=pf-w200-h200"
"Kilo alımını önlüyor, gün boyu enerji veriyor! İşte sütün faydaları!Araştırmaya göre Türk halkı ayda ortalama 2 litre süt içiyor ve bu rakam Avrupa ülkelerinin kat kat gerisinde… Aslında daha çok süt tüketmek için sebep çok!ampHaberturk3 saat öncebookmark_bordersharemore_vert","https://news.google.com/articles/CAIiEN0I0uvJDxOf6yWnXFf6vG0qGQgEKhAIACoHCAow0If9CjCr54kDMJ6k0gU?hl=tr&gl=TR&ceid=TR%3Atr","https://lh3.googleusercontent.com/XmWksx0YNL_kfcW2Ol65WZ5-XY3hZRlYCSaov-sbG3zpPXgbiqwMkIdkyMYW0q7YEbUJp4S7pi4lZ7S95IE=pf-w200-h200"
"Dr. Yavuz Dizdar: Gerekmedikçe kendinizi kurcalatmayınDinar Belediyesi tarafından düzenlenen 'Kanser ve sağlıklı beslenme' seminerine onkoloji uzmanı Dr. Yavuz Dizdar, konuşmacı olarak katıldı. Dinar Park Ala ...Aydınlık Gazetesidünbookmark_bordersharemore_vert","https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmF5ZGlubGlrLmNvbS50ci9kci15YXZ1ei1kaXpkYXItZ2VyZWttZWRpa2NlLWtlbmRpbml6aS1rdXJjYWxhdG1heWluLXNhZ2xpay1tYXlpcy0yMDE40gEA?hl=tr&gl=TR&ceid=TR%3Atr","https://drive.google.com/file/d/1o_a7qyvWlg2c8zJ9S1SMSADxnWlJ2B0T/view?usp=sharing"
